countyFIPS,population,Total_cases
27015,25008,782
27017,35871,4090
27019,105089,7768
27021,29779,556
27023,11800,1602
27025,56579,2269
27027,64222,18011
27029,8818,184
27031,5463,3
27033,11196,3196
27035,65055,2758
27037,429021,48319
27039,20934,2390
27041,38141,1386
27043,13653,774
27045,21067,1113
27047,30281,5390
27049,46340,2836
27051,5972,138
27053,1265843,319006
27055,18600,138
27057,21491,73
27059,40596,1292
27061,45130,2100
27063,9846,1763
27065,16337,429
27067,43199,19448
27069,4298,59
27071,12229,269
27073,6623,157
27075,10641,40
27077,3740,0
27079,28887,2501
27081,5639,274
27083,25474,2956
27085,35893,1281
27087,5527,250
27089,9336,435
27091,19683,7108
27093,23222,1745
27095,26277,707
27097,33386,1531
27099,40062,11628
27101,8194,1630
27103,34274,2877
27105,21629,67927
27107,6375,639
27109,158293,29675
27111,58746,2498
27113,14119,694
27115,29579,4254
27117,9126,486
27119,31364,2820
27121,11249,302
27123,550321,106587
27125,4055,151
27127,15170,241
27129,14548,372
27131,66972,15780
27133,9315,1034
27135,15165,124
27137,199070,6207
27139,149013,15191
27141,97238,8789
27143,14865,583
27145,161075,79342
27147,36649,5759
27149,9805,19
27151,9266,629
27153,24664,8722
27155,3259,217
27157,21627,989
27159,13682,307
27161,18612,1125
27163,262440,24691
27165,10897,2570
27167,6207,735
27169,50484,4793
27171,138377,11043
27173,9709,308
0,0,449
28001,30693,10519
28003,36953,935
28005,12297,2799
28007,18174,12842
28009,8259,849
28011,30628,8840
28013,14361,3754
28015,9947,5329
28017,17103,6759
28019,8210,1915
28021,8988,3696
28023,15541,6240
28025,19316,5204
28027,22124,6134
28029,28065,13009
28031,18636,6965
28033,184945,28079
28035,74897,25276
28037,7713,1459
28039,24500,1272
28041,13586,884
28043,20758,4264
28045,47632,5271
28047,208080,15080
28049,231840,49853
28051,17010,17285
28053,8064,2700
28055,1327,0
28057,23390,4327
28059,143617,19034
28061,16383,6569
28063,6990,1933
28065,11128,3444
28067,68098,23967
28069,9742,6272
28071,54019,7307
28073,63343,11046
28075,74125,34605
28077,12586,4513
28079,22786,19476
28081,85436,8090
28083,28183,13418
28085,34153,13203
28087,58595,8729
28089,106272,32083
28091,24573,5775
28093,35294,4395
28095,35252,12847
28097,9775,3877
28099,29118,26070
28101,21018,10842
28103,10417,7694
28105,49587,9246
28107,34192,3945
28109,55535,12528
28111,11973,2545
28113,39288,11225
28115,32174,2117
28117,25126,2594
28119,6792,1515
