State,countyFIPS,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02-01-20,02-02-20,02-03-20,02-04-20,02-05-20,02-06-20,02-07-20,02-08-20,02-09-20,02-10-20,02-11-20,02-12-20,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03-01-20,03-02-20,03-03-20,03-04-20,03-05-20,03-06-20,03-07-20,03-08-20,03-09-20,03-10-20,03-11-20,03-12-20,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,04-01-20,04-02-20,04-03-20,04-04-20,04-05-20,04-06-20,04-07-20,04-08-20,04-09-20,04-10-20,04-11-20,04-12-20,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,05-01-20,05-02-20,05-03-20,05-04-20,05-05-20,05-06-20,05-07-20,05-08-20,05-09-20,05-10-20,05-11-20,05-12-20,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,06-01-20,06-02-20,06-03-20,06-04-20,06-05-20,06-06-20,06-07-20,06-08-20,06-09-20,06-10-20,06-11-20,06-12-20,6/13/2020,6/14/2020,6/15/2020,population
ND,2016809,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,4,4,5,7,7,8,9,9,9,9,9,9,10,13,13,14,15,15,16,17,19,19,19,19,23,24,25,25,25,31,31,33,34,35,36,38,40,40,42,42,43,44,45,49,51,52,52,53,54,54,56,57,59,59,59,61,65,66,66,71,72,72,72,72,73,74,74,74,74,74,762062
NE,2891649,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,6,6,6,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,70,72,75,78,79,79,82,86,91,92,96,99,101,103,107,113,118,122,122,124,128,135,141,145,145,148,148,151,160,161,166,166,167,176,179,184,185,186,187,187,188,191,195,212,216,216,216,220,1934408
NH,330100,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,5,7,9,9,9,13,18,21,22,23,23,23,27,32,34,37,38,41,42,42,48,51,53,60,60,60,60,66,72,81,84,86,86,92,111,114,121,131,133,133,142,150,151,159,171,172,172,182,190,199,204,208,209,210,214,223,232,237,242,245,245,256,265,273,278,283,286,286,294,301,308,315,318,320,320,1359711
NJ,714441,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,5,9,11,16,24,27,44,62,80,108,140,161,198,265,355,537,646,837,917,1002,1232,1504,1692,1932,2183,2350,2350,2805,3156,3518,3840,4071,4205,4379,4756,4756,4756,5620,5866,5941,6047,6444,6773,7231,7538,7742,7870,7910,8244,8549,8801,8952,9115,9255,9310,9508,9702,9946,10138,10249,10356,10435,10586,10747,10843,10985,11080,11130,11143,11191,11339,11401,11531,11633,11696,11721,11770,11880,11970,12048,12105,12173,12214,12303,12377,12442,12489,12587,12624,12676,8882190
NM,1155995,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,6,7,10,11,12,12,13,16,17,19,20,26,26,31,31,44,51,53,55,58,58,71,78,84,93,99,99,105,112,123,131,138,150,150,162,169,172,181,191,200,208,219,231,242,253,253,253,270,276,283,294,302,308,317,320,325,329,335,344,351,356,362,367,375,383,387,392,396,400,404,410,420,426,431,435,440,2096829
NV,544774,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,10,10,10,14,15,18,26,32,38,43,46,46,58,59,80,85,102,102,102,102,102,102,154,158,168,174,175,179,190,206,214,216,222,223,235,247,253,253,269,273,273,278,297,305,313,318,322,322,330,341,348,360,362,365,365,377,377,377,396,406,408,410,410,413,421,424,428,429,432,433,436,445,448,453,438,442,445,447,459,461,462,463,465,3080156
NY,2235845,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,22,30,50,48,77,139,192,284,408,546,694,991,1235,1569,1991,2490,3093,3831,4524,5431,6258,7268,8195,9148,10394,11112,12050,12908,13959,14725,15436,15997,16229,17689,18303,19141,19831,20382,20877,21471,21871,22237,22685,23070,23409,23752,23984,24529,24783,25071,25949,26255,26459,26721,26890,27067,27326,27493,27658,27799,27967,28141,28283,28425,28528,28688,28790,28887,29033,29125,29228,29326,29425,29523,29563,29640,29753,29835,29905,29998,30053,30123,30170,30226,30296,30363,30417,30498,30560,30603,30632,19453561
OH,3439744,3471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,8,10,16,19,25,29,39,55,65,81,90,102,119,142,167,193,213,231,247,253,253,324,361,389,418,451,471,509,557,609,656,690,709,726,753,799,934,975,1002,1021,1038,1056,1132,1224,1271,1304,1331,1341,1357,1436,1482,1534,1580,1610,1625,1657,1720,1780,1834,1871,1951,1966,1984,1999,2040,2096,2129,2146,2151,2203,2256,2297,2336,2354,2370,2377,2403,2421,2457,2490,2508,2554,2557,2573,11689100
OK,3085929,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,5,7,7,15,16,17,23,29,34,38,42,46,51,67,79,80,88,94,96,96,108,123,131,131,131,131,131,164,170,179,179,194,195,197,207,214,222,230,238,238,238,247,253,260,266,270,271,273,278,278,284,285,288,288,288,294,299,304,307,311,311,313,318,322,325,328,333,333,349,355,357,360,361,363,364,364,369,371,373,375,375,375,375,3956971
OR,1477296,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,5,5,10,11,12,13,13,16,18,19,21,22,26,27,29,33,38,44,48,51,52,52,55,58,64,70,72,74,75,78,78,83,86,87,91,92,99,101,103,104,109,109,109,113,115,121,124,127,127,130,130,134,137,137,137,137,138,140,144,145,147,147,148,148,148,148,151,151,153,153,154,157,159,159,161,161,164,164,169,169,171,173,174,176,180,4217737
